,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,S1,S2,
201102081321.aif,10021,20759,35075,47244,62992,73729,88761,101646,115246,127415,143163,153900,168216,180385,195417,206155,220471,231924,272010,283463,297779,309232,324264,335001,,,,,,,,,,,,,,,
201102260502.aif,,11526,27941,42197,58163,71278,88955,102641,122028,134573,152821,184753,197869,216686,230942,251211,265168,,,,,,,,,,,,,,,,,,,,,,
201103090635.aif,5366,17632,31432,44464,59030,71296,86629,99661,116527,128793,144125,156391,174024,185523,200856,213122,226154,239187,252220,265252,277518,290551,303583,315849,329649,342681,,,,,,,,,,,,,
201103140132.aif,16358,29272,89539,105036,128282,142057,170469,183383,207490,221265,242789,256564,279810,292725,320275,334911,363323,377098,,,,,,,,,,,,,,,,,,,,,
201103140822.aif,3444,18080,44770,58545,84374,98149,123977,134309,157555,175635,195437,214378,,,,,,,,,,,,,,,,,,,,,,,,,,,
201103151912.aif,3244,12053,25829,61128,79208,96427,117090,133448,152389,167886,202324,222987,,,,,,,,,,,,,,,,,,,,,,,,,,,
201103221214.aif,27831,39095,54667,65601,81173,92769,108341,119605,135509,146442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201104141251.aif,21189,32879,51876,64297,83294,96446,116904,129326,149053,162205,180471,192623,211889,225041,245499,257920,279109,290800,,,,,,,,,,,,,,,,,,,,,
201105011626.aif,,2855,15497,23246,35299,43048,55962,63711,75764,84374,96427,105036,116229,124838,136031,143779,164899,155833,177357,184244,196298,205768,216100,224709,237623,245372,257425,266035,278949,287559,302195,307361,321136,328885,338355,347826,360740,381403,389151
201105021654.aif,24481,39781,79563,94863,126229,140765,169836,185136,215737,230273,270054,284590,327431,342732,,,,,,,,,,,,,,,,,,,,,,,,,
201105021804.aif,24107,35299,50796,61128,75764,86095,101593,112785,128282,139475,154972,165303,180800,190271,204907,216961,229875,240206,254843,265174,281532,291003,306500,315970,331467,341799,356435,368489,382264,390873,,,,,,,,,
201105151450.aif,26679,40379,56964,71385,90853,105275,124743,138443,157912,171612,193965,206223,227855,242276,263907,278003,299239,313660,,,,,,,,,,,,,,,,,,,,,
201106111136.aif,19943,33239,56506,66953,87846,101142,122510,136280,159073,169044,189938,201809,,,,,,,,,,,,,,,,,,,,,,,,,,,
201106141148.aif,21449,31349,47849,58299,73698,84698,100648,112197,128147,138047,154546,165546,181496,191395,208995,218345,,,,,,,,,,,,,,,,,,,,,,,
201106210943.aif,5036,18466,40290,54839,73305,86735,106320,120310,141574,155004,172351,186341,207045,220475,,,,,,,,,,,,,,,,,,,,,,,,,
201106221418.aif,26126,40194,60291,72349,93116,105844,123261,138669,155416,170154,191591,204319,224416,238484,262600,275328,,,,,,,,
201106221450.aif,2583,16358,38743,54240,74903,89539,111063,124838,147223,160998,184244,198880,221265,236762,258286,273784,296168,309944,331467,345243,366767,380542,,
201108011112.aif,25810,40993,63008,76672,98687,113110,135125,149548,170804,185227,207242,221665,244439,258104,279359,293783,315797,330221,,,,,,
201108011114.aif,22774,37197,67562,81986,112351,127534,157899,172322,202687,217870,247476,263417,292264,308206,,,,,,,,,,
201108011115.aif,23533,37197,59212,73635,95650,110074,132088,146512,168526,182191,204205,217870,239884,254308,276323,290746,312761,326425,,,,,,
201108011118.aif,7591,20496,37197,50862,66803,78949,95650,107796,124497,138161,154862,167008,183709,196614,213315,226220,241403,255826,272527,284673,300863,314279,330980,343126
